LoadID,Date,Year,Month,MonthName,Quarter,DayType,Carrier,Dispatcher,Terminal,Origin,Destination,Route,DistanceMiles,LoadType,WeatherImpact,AppointmentType,DelayCause,Responsibility,ScheduledTransitHours,ActualTransitHours,DelayMinutes,DelayCategory,OperationalStatus,StrictOnTimeStatus,ServiceLevel
477,2024-01-01,2024,1,Jan,Q1,Weekday,RoadBull,R. Davis,Winnipeg,Fargo,Kansas City,Fargo to Kansas City,357,Reefer,Snow,Strict,Weather,External,6.4,9.9,210,Severe,Late,Late,Failure
737,2024-01-01,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Winnipeg,Sioux Falls,Minneapolis,Sioux Falls to Minneapolis,322,Reefer,Snow,Strict,Dock Delay,Shipper/Receiver,6.2,6.2,0,On-Time,On-Time,On-Time,On-Time
2631,2024-01-01,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Winnipeg,Minneapolis,Winnipeg,Minneapolis to Winnipeg,549,Dry,None,Strict,Inspection,External,9.6,9.6,0,On-Time,On-Time,On-Time,On-Time
561,2024-01-01,2024,1,Jan,Q1,Weekday,RoadBull,R. Davis,Minneapolis,Winnipeg,Chicago,Winnipeg to Chicago,386,Dry,None,Standard,Traffic,Carrier,7.3,7.4,7,On-Time,On-Time,On-Time,On-Time
4928,2024-01-01,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Minneapolis,Fargo,Omaha,Fargo to Omaha,798,Flatbed,High Wind,Open,Dispatch/Planning,Carrier,13.9,15.7,110,Moderate,Late,Late,At-Risk
2406,2024-01-01,2024,1,Jan,Q1,Weekday,RoadBull,A. Smith,Fargo,Fargo,Kansas City,Fargo to Kansas City,274,Dry,Snow,Standard,Dispatch/Planning,Carrier,4.9,5.5,33,Minor,On-Time,Late,On-Time
4604,2024-01-01,2024,1,Jan,Q1,Weekday,RoadBull,M. Clark,Des Moines,Minneapolis,Winnipeg,Minneapolis to Winnipeg,212,Flatbed,Snow,Strict,Inspection,External,4.2,5.0,51,Minor,Late,Late,On-Time
4738,2024-01-01,2024,1,Jan,Q1,Weekday,RoadBull,R. Davis,Minneapolis,Winnipeg,Omaha,Winnipeg to Omaha,218,Reefer,Rain,Strict,Breakdown,Carrier,4.2,5.0,45,Minor,On-Time,Late,On-Time
3836,2024-01-01,2024,1,Jan,Q1,Weekday,FastFreight,M. Clark,Minneapolis,Grand Forks,Winnipeg,Grand Forks to Winnipeg,738,Dry,Snow,Standard,Dock Delay,Shipper/Receiver,13.1,13.8,39,Minor,On-Time,Late,On-Time
4888,2024-01-01,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Winnipeg,Minneapolis,Kansas City,Minneapolis to Kansas City,598,Dry,High Wind,Strict,Dispatch/Planning,Carrier,13.0,19.5,391,Severe,Late,Late,Failure
1540,2024-01-01,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Des Moines,Sioux Falls,Winnipeg,Sioux Falls to Winnipeg,607,Reefer,None,Standard,Dock Delay,Shipper/Receiver,11.6,11.7,5,On-Time,On-Time,On-Time,On-Time
2272,2024-01-01,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Des Moines,Grand Forks,Omaha,Grand Forks to Omaha,1099,Dry,Rain,Standard,Traffic,Carrier,20.4,20.8,26,On-Time,On-Time,Late,On-Time
